emotion,wav
sad,"[-0.00272587 -0.00565463 -0.01190466 ...  0.0047079   0.00535448
  0.00590272]"
angry,"[ 0.06388859  0.02995896 -0.01298945 ... -0.04818195 -0.04282945
 -0.03562338]"
disgust,"[-0.01629459 -0.03924647 -0.07244523 ... -0.00185332  0.00018903
  0.00240075]"
fear,[0.05361628 0.09900989 0.16681488 ... 0.00129956 0.00173178 0.00266008]
happy,"[ 0.20971426  0.24702139  0.2729777  ... -0.00575672 -0.00731904
 -0.00799824]"
neutral,"[ 0.02537264  0.02418172  0.01761068 ... -0.00752368 -0.00624482
 -0.0055659 ]"
sad,"[-0.00745135 -0.00694799 -0.0003586  ...  0.00151626  0.00284352
  0.00734466]"
angry,[0.01029964 0.01094999 0.0102108  ... 0.01104798 0.01154335 0.01163754]
disgust,[0.00934132 0.02502149 0.03717216 ... 0.00752394 0.00826621 0.00599391]
fear,"[ 0.03980511  0.08409563  0.11144721 ... -0.00983557 -0.01061728
 -0.01170822]"
happy,"[-0.0580618  -0.05921486 -0.03501112 ...  0.00533637  0.00480616
  0.00523928]"
neutral,[0.03654618 0.0563947  0.06098364 ... 0.0129138  0.0121642  0.01115349]
sad,"[-0.02171246 -0.01648791 -0.00841985 ...  0.00354351  0.00302894
  0.00184445]"
angry,"[-0.07069477 -0.06744662 -0.06264568 ... -0.01830032 -0.01644396
 -0.01702814]"
disgust,"[-0.03102664 -0.03096836 -0.03135792 ... -0.0146108  -0.01708955
 -0.01566403]"
fear,"[-0.01296708 -0.00985053 -0.00897945 ...  0.0078239   0.00757144
  0.00738539]"
happy,"[-0.21628855 -0.18743601 -0.14724372 ... -0.00334879 -0.00244006
 -0.00182464]"
neutral,"[ 0.01798123  0.02031608  0.02081596 ... -0.00625861 -0.00582753
 -0.00475398]"
sad,"[ 0.00127001 -0.00095238 -0.00454065 ... -0.00063064 -0.00046847
  0.00031381]"
angry,"[ 0.03214277  0.0367168   0.03075015 ... -0.00606698 -0.01189079
 -0.01269687]"
disgust,[0.01440186 0.02980038 0.04740965 ... 0.04683567 0.04894638 0.05040583]
fear,"[ 0.02064556  0.03577456  0.04970383 ... -0.00825056 -0.01064932
 -0.0093686 ]"
happy,"[-0.00970098 -0.01190099 -0.01301953 ... -0.06294297 -0.07026875
 -0.07557207]"
neutral,"[ 0.0367298   0.03509503  0.03298649 ... -0.00853063 -0.00589324
 -0.00322553]"
sad,"[ 0.00773326  0.00860163  0.00751496 ... -0.00517016 -0.00527362
 -0.00553806]"
angry,"[ 0.03775157  0.03351991  0.02912562 ... -0.15038191 -0.13884282
 -0.13028485]"
disgust,"[ 0.06231326  0.06697605  0.05876224 ...  0.00250418  0.00217909
 -0.00047519]"
fear,"[ 0.05874856  0.03334278  0.01579357 ... -0.00060913 -0.00081871
 -0.00053138]"
happy,"[-0.07406358 -0.07020508 -0.06588949 ...  0.02498555  0.02575904
  0.02746215]"
neutral,"[-0.00991209 -0.00784676 -0.00241483 ... -0.00595399 -0.0066119
 -0.00744183]"
sad,"[ 3.6983159e-03  1.4077521e-02  2.0745780e-02 ... -4.1220504e-05
  1.2478200e-03 -2.1146410e-03]"
angry,"[-0.01862479 -0.01495574  0.0029631  ...  0.00249103  0.00299953
  0.00820106]"
disgust,"[-0.0082995  -0.00910707 -0.01021862 ...  0.01468813  0.01376795
  0.01262934]"
fear,"[ 0.00313718 -0.0198053  -0.01344046 ...  0.01030933  0.01052407
  0.01082148]"
happy,"[ 0.02187121  0.05267834  0.06931937 ... -0.02146602 -0.02215735
 -0.02137843]"
neutral,"[ 0.00792145  0.00537627 -0.00223704 ...  0.00753597  0.00855963
  0.00920013]"
sad,"[-0.00441507 -0.00913267 -0.00164281 ...  0.00791724  0.00838988
  0.00928116]"
angry,"[-0.01711481 -0.00329009 -0.00801959 ... -0.00667742 -0.0052443
 -0.00378585]"
disgust,"[ 0.04215156  0.03063279  0.02411729 ... -0.00767116 -0.0077146
 -0.00751855]"
fear,"[-0.13724574 -0.04019064 -0.02139567 ... -0.00546628 -0.00504522
 -0.00440322]"
happy,"[-0.13353361 -0.05968549 -0.09699572 ... -0.00124023 -0.00072164
 -0.00073754]"
neutral,"[-0.01799649 -0.02763594 -0.00053082 ... -0.00218226 -0.00115981
  0.00049416]"
sad,"[ 0.00538063  0.00481268  0.00519356 ... -0.00478782  0.00227958
  0.00836766]"
angry,"[-0.05285984 -0.05789951 -0.07378818 ...  0.00097385  0.02070024
  0.03937969]"
disgust,"[-0.09656401 -0.1024996  -0.12703134 ... -0.00831271 -0.00858181
 -0.00771288]"
fear,"[-0.0463087  -0.06162621 -0.07772084 ...  0.00391569  0.00417875
  0.00338218]"
happy,[0.13532431 0.1440227  0.13071603 ... 0.00406774 0.00354164 0.00435799]
neutral,"[-0.01392464  0.00985594  0.01581121 ...  0.0396974   0.03387051
  0.02546064]"
sad,"[ 0.00407515  0.00277263  0.00220833 ... -0.00583295 -0.00633101
 -0.00629413]"
angry,"[ 0.01460789 -0.02297856 -0.08575492 ... -0.00607089 -0.01371469
  0.00207715]"
disgust,"[-0.00310822  0.00608622  0.00138864 ...  0.01397007  0.01415397
  0.00699126]"
fear,"[-0.0538083  -0.11131041 -0.08507332 ...  0.0395687   0.03017301
  0.02334752]"
happy,[0.01072488 0.01722964 0.02278286 ... 0.00098919 0.00102607 0.00098313]
neutral,"[-0.02616275 -0.02298098 -0.02378591 ...  0.00144196  0.00143233
  0.00161287]"
sad,"[-0.00376434 -0.00327804 -0.00289889 ...  0.00364311  0.0033376
  0.00183713]"
angry,[0.05280593 0.10092612 0.03834424 ... 0.0062367  0.00609798 0.005191  ]
angry,"[ 1.5261599e-02 -1.1768957e-02 -3.5451245e-02 ...  1.5517931e-03
  4.1693845e-03 -5.8194459e-05]"
angry,"[-0.07904813 -0.05901363 -0.0450731  ... -0.00471543 -0.00788322
 -0.00628136]"
disgust,"[ 0.00222791  0.0019711   0.00183695 ... -0.0034006  -0.0038047
 -0.00435351]"
disgust,"[ 0.0138427  -0.02016523  0.00044777 ... -0.00744837 -0.00711565
 -0.00657761]"
disgust,[0.01772099 0.02151505 0.06066418 ... 0.00226864 0.00205219 0.00232824]
fear,"[-0.02227162 -0.00352435 -0.00874508 ...  0.00759649  0.00682787
  0.00641301]"
fear,"[-0.00217402 -0.00129666 -0.00103319 ... -0.00168411 -0.00147491
 -0.00567963]"
fear,"[-0.00553731 -0.00479783 -0.0075315  ... -0.00321768 -0.003498
 -0.00358301]"
happy,"[ 0.02443456  0.02214885  0.02021238 ... -0.0193862  -0.01362594
 -0.00411313]"
happy,"[ 3.3659134e-03  1.4614000e-03 -8.1253302e-04 ...  1.2017588e-04
  3.1612365e-04 -4.5684606e-05]"
happy,"[-0.0004434  -0.00040197 -0.00160732 ...  0.00333908  0.00602978
  0.00916235]"
neutral,"[-0.00052111 -0.00055081  0.00061848 ... -0.00327683 -0.00298889
 -0.00281452]"
sad,"[-0.00229009 -0.00228561 -0.00178047 ... -0.00158729 -0.00171248
 -0.00192022]"
sad,[0.00543479 0.00660033 0.00577257 ... 0.00743298 0.00608408 0.00524386]
sad,"[ 0.01208952  0.01056058  0.00931205 ... -0.00170003 -0.00254362
 -0.00312827]"
angry,"[-0.06288982 -0.03031409  0.01500672 ...  0.1520453   0.16884385
  0.09363098]"
disgust,[0.01437298 0.01566784 0.01581523 ... 0.00033908 0.00056974 0.00220033]
fear,"[ 0.07105447  0.06583679  0.05874634 ... -0.00128577 -0.00091331
 -0.00113405]"
happy,"[-0.01896796 -0.01606948 -0.0181047  ... -0.00049438  0.000317
  0.00104401]"
neutral,[0.02242771 0.02379598 0.02309547 ... 0.00220801 0.00294544 0.00361383]
sad,"[-0.03549953 -0.03066855 -0.02559368 ...  0.00211149  0.00266228
  0.00324461]"
angry,"[-0.01031743 -0.00407579 -0.00230895 ...  0.02018309  0.02234936
  0.01795294]"
disgust,"[-0.00385032 -0.02083666 -0.04818196 ... -0.00524524 -0.00125411
 -0.00220668]"
fear,"[-0.02017482 -0.01125649 -0.01182264 ...  0.00147155  0.00167117
  0.00189224]"
happy,"[-0.00189147  0.00027362  0.00028978 ...  0.00539541  0.00264691
  0.00040913]"
neutral,[0.00943664 0.00716135 0.0055766  ... 0.00207102 0.00237636 0.00216949]
sad,"[ 0.01829239  0.01689626  0.0146788  ... -0.00173637 -0.00203258
 -0.00221316]"
angry,"[ 0.01361083  0.01108892  0.0120965  ...  0.00624269  0.0006887
 -0.00548769]"
disgust,"[ 0.00553411  0.00568143  0.0055631  ... -0.01226124 -0.01042932
 -0.00192091]"
fear,"[-0.00772261 -0.01177562 -0.00663887 ... -0.00153315  0.00035134
  0.00116489]"
happy,"[-0.06082647 -0.0624277   0.09158172 ... -0.00959517 -0.00813528
 -0.00524732]"
neutral,"[-0.02384002 -0.02673237 -0.02889114 ...  0.00331576  0.00372517
  0.00384118]"
sad,"[-0.01899495 -0.0195103  -0.01964011 ... -0.00054632 -0.0009226
 -0.00145345]"
angry,"[ 0.04923668  0.01967014 -0.04994259 ... -0.004104   -0.00434427
  0.000706  ]"
disgust,"[-0.00122209 -0.00469959 -0.00988911 ... -0.00476245 -0.00565835
 -0.00795034]"
fear,"[ 0.00295054  0.00213924  0.00146576 ... -0.00213961 -0.00093475
 -0.00090649]"
happy,"[-0.02010602 -0.01466404 -0.013442   ...  0.01476714  0.0153673
  0.01090465]"
neutral,"[-0.01283238 -0.01184026 -0.01084551 ... -0.00205675 -0.002589
 -0.00414645]"
sad,[0.01499481 0.01474426 0.01488242 ... 0.01013114 0.00641348 0.00269692]
angry,"[-0.09128331 -0.05558218 -0.03382507 ...  0.00245315  0.00226268
  0.00244371]"
disgust,"[-0.0050829  -0.00609108 -0.00758226 ... -0.00363524 -0.00328068
 -0.00320867]"
fear,"[-0.04400924 -0.0424846  -0.04336056 ...  0.0027889   0.00268452
  0.0021709 ]"
happy,[0.01722438 0.01819034 0.01852281 ... 0.01567584 0.02248934 0.02492475]
neutral,"[-0.01011314 -0.00475478 -0.00143953 ...  0.00291554  0.00348951
  0.00591489]"
sad,"[ 0.01013909  0.01100552  0.01232666 ...  0.00355754  0.00152674
 -0.00012352]"
angry,"[-0.01512204 -0.00552357 -0.00471889 ... -0.0068476  -0.00582646
 -0.00573249]"
disgust,"[-0.03857904 -0.04171917 -0.04398078 ...  0.02305613  0.03562868
  0.03586821]"
fear,"[ 0.05537945  0.06222953  0.06947513 ...  0.00122401  0.00053599
 -0.00076092]"
happy,"[-0.0262974  -0.03394797 -0.0451119  ...  0.00457499  0.00746314
  0.01120069]"
neutral,"[ 0.00945019 -0.00306649 -0.00956693 ... -0.01441586 -0.01333107
 -0.01271615]"
sad,"[ 0.09171122  0.08503182  0.07689022 ... -0.00143007 -0.00010344
  0.0006007 ]"
angry,"[-0.00386612 -0.01887476 -0.00375368 ...  0.00406421  0.00355689
  0.00401899]"
disgust,[0.01443509 0.03019622 0.02788023 ... 0.0103452  0.00607198 0.0021067 ]
fear,"[ 0.03685208  0.0112328   0.04627239 ... -0.00089504 -0.0007211
 -0.00021746]"
happy,[0.05737869 0.05823502 0.05128906 ... 0.00763222 0.00549344 0.0041207 ]
neutral,"[ 0.05080973  0.05375222  0.05411678 ... -0.00592547 -0.00668122
 -0.00547504]"
sad,"[-0.04103107 -0.04665359 -0.04917813 ... -0.00382495 -0.00394911
 -0.00427692]"
angry,"[ 0.04494403  0.0817848   0.06332062 ... -0.40889585 -0.38108364
 -0.36095107]"
disgust,"[ 0.00401744 -0.0186907  -0.03559386 ... -0.004929   -0.00514092
 -0.00393353]"
fear,"[ 0.00695477 -0.02887405 -0.06726789 ...  0.03427774  0.02755561
  0.02014677]"
happy,[0.07360597 0.02758407 0.06457543 ... 0.0252892  0.02737878 0.02914178]
sad,"[ 0.00706845 -0.02255831 -0.01609113 ...  0.06445322  0.1121508
  0.12889874]"
angry,[0.00884253 0.00980751 0.0425809  ... 0.00811652 0.00803179 0.00748759]
disgust,"[-0.00656043 -0.00811053 -0.00891996 ... -0.00100089 -0.00229766
 -0.00477136]"
fear,"[-7.6168544e-05  2.1951674e-03  6.9044232e-03 ...  9.0432335e-03
  9.0800831e-03  9.6579455e-03]"
happy,"[ 3.5804737e-02  3.4842391e-02  4.0728696e-02 ...  7.4143813e-05
 -2.6639289e-04 -8.4823236e-04]"
neutral,"[-0.0035558  -0.00343699 -0.00224428 ... -0.00606494 -0.00476361
 -0.00396783]"
sad,"[-0.00181911 -0.00248029 -0.00275452 ...  0.00766963  0.00785504
  0.00804591]"
angry,"[-0.00425605 -0.00216426  0.00217674 ... -0.03327088 -0.03116784
 -0.02855573]"
disgust,"[-0.00878795 -0.00815158 -0.00719421 ... -0.02736688 -0.02972349
 -0.01816499]"
fear,"[-0.07969892 -0.04798263  0.00641194 ... -0.00911956 -0.00116663
 -0.0050739 ]"
happy,"[ 0.00414822  0.0071615   0.00543679 ...  0.00639897  0.00238822
 -0.00151673]"
neutral,"[ 0.03338208 -0.00470253 -0.03902428 ... -0.0018991  -0.00243073
 -0.00357293]"
sad,"[ 0.00836548  0.00866069  0.0090438  ... -0.00873088 -0.00865414
 -0.00861553]"
angry,"[ 0.03048383  0.03006461  0.02885348 ... -0.00708627 -0.00462796
 -0.00605721]"
disgust,"[ 0.00186451  0.00250702  0.002307   ... -0.01507971 -0.01503915
 -0.01694423]"
fear,"[-0.03280925 -0.02643404 -0.02187576 ...  0.00650094  0.00704911
  0.00695533]"
happy,"[ 0.08571921  0.10072757  0.10884172 ... -0.01669795  0.00374198
 -0.02100736]"
neutral,"[-0.00892383 -0.00600207 -0.00547804 ... -0.0085137  -0.00783007
 -0.00694496]"
sad,"[ 0.01313271  0.01354226  0.01404476 ... -0.02158107 -0.02459707
 -0.02873004]"
angry,"[-0.17105293 -0.12060103 -0.01267531 ...  0.06219758  0.08030558
  0.07652622]"
angry,"[ 0.00829276  0.00654751 -0.00642641 ...  0.00610237  0.0056314
  0.00520445]"
angry,"[ 0.09809043  0.04070161 -0.02345681 ...  0.00607795  0.00742997
  0.00332864]"
disgust,"[-0.01244391 -0.01396017 -0.01763845 ... -0.00616879 -0.00632349
 -0.00294036]"
disgust,"[-0.0029081  -0.00244352 -0.00152897 ...  0.00244699  0.002788
  0.00312347]"
disgust,"[-0.0007299  -0.00041397 -0.00139947 ...  0.00656359  0.00644875
  0.00587802]"
fear,"[-6.5291737e-05 -5.8975734e-04 -1.0194741e-03 ...  3.4151720e-03
  3.0007844e-03  1.8621829e-03]"
fear,"[ 0.00105801  0.00072947  0.00012617 ... -0.0035788  -0.00496737
 -0.008261  ]"
fear,[0.0093176  0.00833027 0.00851357 ... 0.00463628 0.00465973 0.00397401]
happy,"[ 0.01423564  0.01454116  0.01192736 ... -0.00277167 -0.00226255
 -0.00216221]"
happy,"[-0.00375546  0.00740086  0.00152492 ...  0.00416138  0.00876054
  0.00787482]"
happy,"[ 5.8501316e-03  2.6831802e-03 -5.8455989e-03 ...  1.7144116e-06
  2.2487275e-03  3.8015891e-03]"
neutral,"[-0.00562561  0.00231337  0.01778519 ... -0.00332902 -0.00390223
 -0.00474763]"
sad,"[-0.00961697 -0.01009536 -0.0099947  ...  0.0004146   0.00097077
  0.00103173]"
sad,"[-0.00018715 -0.00434452 -0.00254079 ... -0.00493171 -0.00519684
 -0.00542897]"
sad,"[-0.00686105 -0.00045223  0.01311645 ...  0.00169946  0.00059593
 -0.00153731]"
angry,"[ 0.07403083  0.07477601  0.07069341 ... -0.17828092 -0.17905073
 -0.16614993]"
disgust,"[-0.00587612 -0.01524561 -0.02401518 ...  0.00621834  0.00615073
 -0.00031819]"
fear,"[-0.03507661 -0.0234841  -0.00948097 ...  0.00358514  0.00336631
  0.00282105]"
happy,[0.06023086 0.05617995 0.04468286 ... 0.01800267 0.01958662 0.02068175]
neutral,"[-0.09805726 -0.10641945 -0.11914737 ... -0.00351835 -0.00440697
 -0.00421288]"
sad,[0.02363534 0.02440074 0.02234331 ... 0.00985223 0.01000812 0.00908129]
angry,"[-0.2705136  -0.38783514 -0.44861668 ... -0.04451507 -0.0290011
 -0.01541902]"
disgust,"[ 0.00470013 -0.00682628 -0.01802423 ... -0.00176065 -0.00317359
 -0.00537422]"
fear,[0.00401533 0.00894256 0.00805596 ... 0.00919118 0.00923429 0.0020536 ]
happy,"[ 0.00800435 -0.01923504 -0.05562643 ... -0.01768162 -0.01428572
 -0.01120674]"
neutral,[0.01949866 0.01665235 0.0088652  ... 0.03317463 0.03323368 0.03264941]
sad,"[-6.2129484e-03 -7.1598673e-03 -4.5619370e-05 ...  3.6392985e-03
  3.7026049e-03  3.5825339e-03]"
angry,"[-0.10256212 -0.10444781 -0.04816881 ...  0.01172022  0.01127228
  0.00478457]"
disgust,"[ 0.003878    0.02092589  0.03330693 ... -0.00179997 -0.00115574
 -0.00178594]"
fear,"[ 0.05348188  0.05316093  0.05227667 ... -0.0079052  -0.00456127
 -0.006893  ]"
happy,"[-0.08884332 -0.07493759 -0.04869332 ...  0.00011053  0.00360972
 -0.00019677]"
neutral,"[ 0.05301128  0.03417562  0.01234238 ... -0.00111273 -0.00313079
 -0.00173856]"
sad,"[-0.0122544  -0.01409768 -0.01464936 ... -0.00506673 -0.00397962
 -0.00339615]"
angry,"[-5.6980071e-03 -1.2050600e-03  2.6320957e-05 ...  5.4520231e-02
  6.1508380e-02  6.8556547e-02]"
disgust,"[ 0.00198528 -0.00300501 -0.00788682 ... -0.00518395 -0.00239616
 -0.00025811]"
fear,"[ 0.0388226   0.03893902  0.03802493 ... -0.01183015 -0.01592826
 -0.01961368]"
happy,"[-0.00566579 -0.00580196 -0.00539296 ... -0.00593131  0.03230953
  0.06050325]"
neutral,[0.00966436 0.01654461 0.02482657 ... 0.02787849 0.02386897 0.01687383]
sad,"[ 0.01999319  0.02018105  0.02045536 ... -0.00395908 -0.00385786
 -0.0029752 ]"
angry,"[ 0.0449136   0.03804556  0.03541694 ...  0.04256498  0.00585844
 -0.02349508]"
disgust,[0.00023607 0.00229979 0.00308654 ... 0.01423625 0.01693466 0.0157602 ]
fear,"[ 0.0047748   0.00498696  0.00518635 ... -0.02645332 -0.03248696
 -0.04979122]"
happy,"[-0.01260947 -0.01382388 -0.01441297 ... -0.02516557  0.03747913
  0.06331119]"
neutral,"[-0.02458937 -0.02495878 -0.02485047 ... -0.00609174 -0.00512653
 -0.00550905]"
sad,"[-0.00836905 -0.00961211 -0.01009088 ...  0.0026592   0.00329911
  0.00384633]"
angry,"[ 0.06526781  0.01059678  0.01363669 ... -0.03480005 -0.04664858
 -0.06979588]"
disgust,"[ 0.01368813  0.01255817  0.01226878 ... -0.0146657  -0.01336827
 -0.01105503]"
fear,"[-0.0046412  -0.00566001 -0.00669076 ...  0.01201156  0.01138408
  0.01150214]"
happy,"[-0.03769325 -0.00807256  0.01950681 ...  0.00039004  0.00354821
 -0.00196989]"
neutral,"[ 0.00561982 -0.0136504  -0.03161015 ... -0.01179725 -0.01409195
 -0.01973272]"
sad,"[ 0.01176346  0.01038064  0.01002664 ... -0.00203047 -0.00181798
 -0.0010831 ]"
angry,"[ 0.16921942  0.15588349  0.06871445 ...  0.00577348  0.00240908
 -0.00524768]"
disgust,"[-0.00318056 -0.00252203 -0.00521823 ...  0.02210503  0.02079509
  0.01917757]"
fear,"[ 0.0272008   0.02961836  0.02393214 ...  0.00113827 -0.0022591
  0.01268554]"
happy,[0.01350887 0.01630577 0.01944084 ... 0.01121223 0.01262005 0.01501847]
neutral,[0.01005973 0.00834827 0.00892835 ... 0.0006768  0.00637357 0.0069339 ]
sad,"[-0.00975864 -0.00790891 -0.00541629 ...  0.02675628  0.01387338
  0.00242041]"
angry,"[-0.20567529 -0.19064082 -0.13531646 ... -0.00803625 -0.02158556
 -0.03374525]"
disgust,"[-0.00497232 -0.00149895 -0.00502829 ... -0.0022266  -0.0012322
 -0.0007341 ]"
fear,"[ 0.01131923  0.00676001 -0.00705031 ...  0.09083773  0.08336927
  0.06512611]"
happy,[0.01082281 0.00495063 0.00531095 ... 0.00983148 0.00898499 0.00719294]
neutral,"[ 0.00074632  0.00119594 -0.0078217  ... -0.00299649 -0.00298225
 -0.00314519]"
sad,"[ 0.00403498  0.00541816 -0.00793762 ... -0.00221008 -0.00175517
 -0.00167976]"
angry,"[-0.06341486  0.03720909  0.05886281 ...  0.06378473  0.03096989
 -0.12965064]"
disgust,"[-0.00254179 -0.00136235 -0.00177948 ... -0.00401591 -0.00474982
 -0.00493766]"
fear,"[-0.08898184 -0.09776153 -0.08669829 ... -0.00702357 -0.00305552
 -0.00294388]"
happy,"[-0.01019623 -0.01140271 -0.01198706 ... -0.03775731 -0.03707549
 -0.03850966]"
neutral,"[ 0.06693702  0.07591009  0.08767883 ...  0.08654101  0.02494574
 -0.01138784]"
sad,[0.00957159 0.00670044 0.0052654  ... 0.02533532 0.02361939 0.02185469]
angry,"[-0.00243353 -0.00795349 -0.00358405 ... -0.28453776 -0.0308055
  0.15933028]"
disgust,[0.00416766 0.00383435 0.00342452 ... 0.01637457 0.01581209 0.01536528]
fear,[0.04874548 0.04926647 0.0433321  ... 0.0131016  0.01263283 0.01141477]
happy,"[-0.0489207  -0.02126064  0.01629789 ... -0.00388287 -0.01108411
 -0.01641147]"
neutral,"[ 0.06426292  0.06673414  0.06946804 ... -0.02418487 -0.02030871
 -0.01663983]"
sad,"[ 0.05151443  0.03456863  0.0142001  ... -0.01753194 -0.01589172
 -0.02061201]"
angry,[0.44590917 0.45278698 0.38002142 ... 0.00510716 0.00436398 0.00441262]
disgust,[0.00102083 0.00356622 0.0062906  ... 0.005898   0.00578698 0.0079058 ]
fear,"[-0.01348031 -0.01405685 -0.01310056 ... -0.00460077 -0.00391153
 -0.00381661]"
happy,"[ 0.00047341 -0.00155553 -0.00152757 ...  0.00327747  0.00327465
  0.00300326]"
neutral,"[ 0.00470353  0.00609177  0.00787479 ... -0.00888189 -0.00642276
 -0.00464917]"
sad,"[-0.00360995 -0.00497932 -0.00558924 ...  0.02043222  0.0222292
  0.02333957]"
angry,"[-0.01949475 -0.03204839 -0.02463611 ... -0.03810533 -0.0127801
  0.01996921]"
angry,"[-0.10823066 -0.0928344  -0.07140892 ... -0.00111493 -0.0015924
 -0.00295847]"
angry,"[-0.37204894 -0.29699332 -0.19560267 ... -0.525576   -0.4917386
 -0.35678568]"
disgust,[0.00143527 0.00288604 0.0033385  ... 0.00720595 0.011759   0.01429502]
disgust,"[ 0.0262468   0.02485701  0.02273028 ... -0.00042236 -0.00080262
 -0.00110025]"
disgust,"[-0.01405325 -0.0172342  -0.01850599 ...  0.00010816 -0.00079554
 -0.00194989]"
fear,"[ 5.3144409e-03 -7.1861837e-03 -7.6498669e-05 ... -7.0839870e-04
 -2.0895035e-03 -1.5357443e-03]"
fear,"[ 0.00044195 -0.00014829  0.00073163 ...  0.00693947  0.00847164
  0.00992601]"
fear,"[-0.01764239 -0.02234204 -0.0332414  ...  0.00195119  0.006015
  0.00950367]"
happy,"[-0.0746365  -0.09410426 -0.07739927 ...  0.45347816  0.2974917
  0.1290696 ]"
happy,[0.00961195 0.00681383 0.00604431 ... 0.00740521 0.00639731 0.0054933 ]
happy,[0.01075603 0.01136862 0.01134125 ... 0.01678264 0.0303065  0.02407166]
neutral,[0.00532147 0.00787533 0.008905   ... 0.00420305 0.00386921 0.00356452]
sad,"[ 0.00017332  0.0012302   0.00194843 ... -0.02150708 -0.02092404
 -0.01980022]"
sad,[0.00031641 0.0008393  0.00048806 ... 0.00237973 0.0027862  0.00237649]
sad,"[-0.00331791 -0.00238399 -0.0029109  ...  0.00575192  0.00671242
  0.0074618 ]"
angry,"[-0.02040742 -0.01862608 -0.02857055 ...  0.00228604  0.00183603
  0.00137354]"
disgust,"[ 0.02033416  0.01375539  0.00491609 ... -0.00319248 -0.00324174
 -0.00339695]"
fear,"[-0.02383657 -0.02308414 -0.02290602 ...  0.00828205  0.00825969
  0.00813744]"
happy,"[ 0.00027706 -0.00036398 -0.00053926 ...  0.0093164   0.01860804
  0.03076884]"
neutral,"[-0.00412958 -0.00391391 -0.00412102 ... -0.00361511 -0.0009944
 -0.00089576]"
sad,"[-0.00047284 -0.00370539 -0.00702704 ... -0.0032622  -0.00343633
 -0.00374164]"
angry,[0.00226359 0.00265786 0.00308359 ... 0.01547056 0.01655741 0.01776651]
disgust,"[-0.00025234  0.00669103  0.01306004 ...  0.01058752  0.00965618
  0.00877686]"
