emotion,wav_mean,melspectrogram,mfcc,Spectral_contrast,Tonnetz,contrast,stft,tonnetz,spectral_contrast
disgust,0.009710554964840412,0.03052900917828083,-10.023256301879883,0.0,0.0,97.27805069162072,(-6.512048003060045e-06-7.770394176986883e-07j),-0.014612426149894804,97.27805069162072
fear,0.04344918951392174,0.7794514894485474,-8.556571006774902,0.0,0.0,101.33547117665807,(1.3573310752690304e-05+1.3843858823747723e-06j),0.0026749549858070525,101.33547117665807
happy,0.056702978909015656,0.9231672286987305,-7.883448600769043,0.0,0.0,104.16464029670101,(4.976774289389141e-05+2.4236990157078253e-06j),0.005175834279936246,104.16464029670101
neutral,0.022133169695734978,0.15341724455356598,-8.6897611618042,0.0,0.0,100.77260197434556,(-3.6041801649844274e-05+4.995598601453821e-07j),-0.002748744253907188,100.77260197434556
sad,0.00925191305577755,0.025167107582092285,-9.436609268188477,0.0,0.0,97.55015903893538,(1.0530303370615002e-05-6.171162567625288e-06j),-0.0017915498144615485,97.55015903893538
angry,0.03264271467924118,0.3935200870037079,-8.87476634979248,0.0,0.0,101.33683421831999,(-2.3216762201627716e-05+2.591154270703555e-06j),-0.020309027999003637,101.33683421831999
disgust,0.018137218430638313,0.10076457262039185,-8.614578247070312,0.0,0.0,99.1998618670408,(-3.774932702071965e-05-1.0866962156796944e-06j),-0.008333517575256444,99.1998618670408
fear,0.05630183592438698,1.176801085472107,-7.981406211853027,0.0,0.0,102.82534521995434,(6.674337782897055e-05-1.8031436411547475e-05j),-0.0013425896249579783,102.82534521995434
happy,0.05427250266075134,1.0817251205444336,-8.046060562133789,0.0,0.0,103.06859363413241,(3.752798875211738e-05-1.383081416861387e-05j),-0.0009045987796146149,103.06859363413241
neutral,0.020447421818971634,0.12710027396678925,-8.261123657226562,0.0,0.0,99.93053505517142,(-5.188793147681281e-05+5.976793090667343e-06j),-0.028109272256677597,99.93053505517142
sad,0.012919656001031399,0.045367948710918427,-9.630611419677734,0.0,0.0,98.47732622953946,(3.4733246138785034e-05-5.131979378347751e-06j),-0.005067655765717729,98.47732622953946
angry,0.07190665602684021,1.5165778398513794,-8.765658378601074,0.0,0.0,103.65631301638108,(-1.2691481970250607e-05-1.474821715419239e-06j),0.015112098347489255,103.65631301638108
disgust,0.015809327363967896,0.07830935716629028,-9.653359413146973,0.0,0.0,99.31095283002891,(1.8771896066027693e-05-1.871765562100336e-06j),-0.005154570564154831,99.31095283002891
fear,0.04764054715633392,0.8676087856292725,-8.147168159484863,0.0,0.0,101.91822580301871,(4.6171644498826936e-05+1.1434952284616884e-05j),-0.002460501200751985,101.91822580301871
happy,0.03933507204055786,0.5901740789413452,-9.40278434753418,0.0,0.0,101.26883172673574,(-7.689893209317233e-06+1.7460680510339444e-06j),0.012499853192592489,101.26883172673574
neutral,0.04436422511935234,0.5777662396430969,-8.725137710571289,0.0,0.0,102.80768531780039,(2.3027621864457615e-05-1.4820418982708361e-05j),0.0025516978471746637,102.80768531780039
sad,0.017760703340172768,0.10517028719186783,-10.04060173034668,0.0,0.0,98.9681735917757,(4.13087354900199e-06+2.070621576422127e-06j),-0.007785848767000881,98.9681735917757
angry,0.03649914637207985,0.48834094405174255,-7.690737724304199,0.0,0.0,102.2752853987165,(2.483129719621502e-05-8.436730240646284e-06j),-0.01498356671964616,102.2752853987165
disgust,0.020461179316043854,0.1466522514820099,-9.718902587890625,0.0,0.0,99.86130482147925,(6.648097951256204e-06-4.735829293167626e-07j),-0.03463624843365677,99.86130482147925
fear,0.02933778613805771,0.4522567391395569,-8.759017944335938,0.0,0.0,100.02359006845742,(-2.6415218599140644e-06+7.5640859904524405e-06j),-0.017310983386585405,100.02359006845742
happy,0.02663261629641056,0.24730029702186584,-8.457372665405273,0.0,0.0,100.50461957208434,(2.7920987122342922e-05-1.312401673203567e-05j),-0.023431643913675193,100.50461957208434
neutral,0.022724423557519913,0.18226473033428192,-9.181405067443848,0.0,0.0,100.10997797475993,(2.0436846170923673e-05-6.4630357883288525e-06j),-0.003960719848481669,100.10997797475993
sad,0.011330276727676392,0.04076506197452545,-9.865852355957031,0.0,0.0,97.58674483117466,(-3.091537291766144e-05-4.2220864315822837e-07j),-0.0035354145806495117,97.58674483117466
angry,0.050470709800720215,0.8813083171844482,-8.027667999267578,0.0,0.0,102.54390195094895,(3.2422831282019615e-05-4.702573733084137e-06j),-0.04235761471556407,102.54390195094895
disgust,0.035954996943473816,0.48287707567214966,-8.092023849487305,0.0,0.0,101.51296026844066,(-1.4301874216471333e-05+1.7636988559388556e-05j),0.0046459007576016426,101.51296026844066
fear,0.07826478034257889,2.07588529586792,-8.326695442199707,0.0,0.0,103.77206192585881,(3.793155701714568e-05-3.460929519860656e-06j),-0.012045283425207593,103.77206192585881
happy,0.07323387265205383,1.681409239768982,-8.197061538696289,0.0,0.0,103.33161105931256,(0.00011845213157357648-3.5114058846374974e-05j),-0.003433233461509115,103.33161105931256
neutral,0.033934880048036575,0.4007633626461029,-8.99623966217041,0.0,0.0,100.84273230057838,(-2.7939162464463152e-05+1.084277027985081e-05j),0.05080864038617222,100.84273230057838
sad,0.01239240076392889,0.06277872622013092,-10.82410717010498,0.0,0.0,97.13023664841842,(2.0011393644381315e-06-2.4600224151072325e-06j),-0.04068363541211317,97.13023664841842
angry,0.042912110686302185,0.6771476864814758,-7.689838409423828,0.0,0.0,102.73765339274009,(1.3919195680500707e-06+7.842070772312582e-06j),-0.02322637514142076,102.73765339274009
disgust,0.021699385717511177,0.15654760599136353,-8.957489013671875,0.0,0.0,100.19871601422506,(2.4963646865217015e-05-2.022431772275013e-06j),-0.027394289563134316,100.19871601422506
fear,0.059982623904943466,1.3789680004119873,-7.951866149902344,0.0,0.0,102.58716848484143,(-2.66023084805056e-06-1.451040361644118e-06j),-0.020126871109905103,102.58716848484143
happy,0.040282007306814194,0.5391271114349365,-8.464428901672363,0.0,0.0,102.48145347133104,(1.0942049812001642e-05-8.562177754356526e-06j),-0.048830046442626916,102.48145347133104
neutral,0.012280158698558807,0.0545429028570652,-10.279768943786621,0.0,0.0,97.70504168751056,(-7.008338798186742e-06+6.9136021920712665e-06j),-0.0011752853589853945,97.70504168751056
sad,0.012948719784617424,0.058682799339294434,-9.856300354003906,0.0,0.0,98.4075585668485,(2.1804400603286922e-05-7.559480309282662e-06j),-0.007423396622072097,98.4075585668485
angry,0.025654766708612442,0.21566620469093323,-9.294781684875488,0.0,0.0,100.13449218391976,(9.094890629057772e-06+1.8548441858001752e-06j),-0.0019970777121325026,100.13449218391976
disgust,0.02795550227165222,0.25067830085754395,-9.449002265930176,0.0,0.0,100.71739275679852,(1.1122720934508834e-05+1.4599054338759743e-06j),-0.042699937373871545,100.71739275679852
fear,0.03799954056739807,0.4618533253669739,-8.379318237304688,0.0,0.0,102.14586656583553,(-1.909760794660542e-05+7.63519619795261e-06j),-0.0007258774983739344,102.14586656583553
happy,0.043375734239816666,0.6607263088226318,-8.557685852050781,0.0,0.0,102.22947033975368,(5.974392843199894e-05-2.4284892788273282e-05j),0.009120724164097307,102.22947033975368
neutral,0.015581266954541206,0.10480422526597977,-9.387530326843262,0.0,0.0,98.30243672440281,(-1.0107577509188559e-05+8.677685059410578e-07j),-0.01360874521110709,98.30243672440281
sad,0.011184176430106163,0.03570546954870224,-9.9002046585083,0.0,0.0,98.19453829205781,(8.577907465223689e-06-5.77599564621778e-07j),0.002362843454581071,98.19453829205781
angry,0.056085254997015,1.0035203695297241,-6.9294023513793945,0.0,0.0,103.03924170553202,(2.0725354261230677e-05-4.851748371947906e-07j),-0.019727511236892634,103.03924170553202
disgust,0.017264854162931442,0.09700571000576019,-8.936586380004883,0.0,0.0,98.42261288396709,(-4.3441279558464885e-05+5.945450084254844e-06j),-0.010141507743204277,98.42261288396709
fear,0.06136748194694519,1.5383082628250122,-7.762561798095703,0.0,0.0,101.24241462364975,(0.00012656670878641307-1.3803889487462584e-05j),-0.017500334865470348,101.24241462364975
happy,0.05350087210536003,1.297727346420288,-7.781298637390137,0.0,0.0,102.10333533026174,(3.633087908383459e-05-7.195607395260595e-06j),-0.016389156249126385,102.10333533026174
neutral,0.02697429247200489,0.23915915191173553,-8.277776718139648,0.0,0.0,100.76329968245561,(-1.3991097148391418e-05-4.1709714082571736e-07j),-0.012178686748338092,100.76329968245561
sad,0.018279222771525383,0.08600228279829025,-8.799098014831543,0.0,0.0,99.5106547583969,(-2.3298562155105174e-05-6.340175104924128e-07j),-0.00885132170040292,99.5106547583969
angry,0.034366849809885025,0.442222535610199,-9.077317237854004,0.0,0.0,101.53454817755957,(-1.348614659946179e-05+9.991831575462129e-06j),0.014315101576510355,101.53454817755957
disgust,0.017638763412833214,0.1060204803943634,-8.762843132019043,0.0,0.0,99.77782990078569,(2.1184897036619077e-07+8.755349881539587e-06j),-0.015282382669605086,99.77782990078569
fear,0.04825850948691368,1.1880806684494019,-8.600306510925293,0.0,0.0,100.59195057836628,(-1.6164214684977196e-05+7.147635642468231e-06j),-0.00662801464278566,100.59195057836628
happy,0.03921328857541084,0.6324765682220459,-8.453420639038086,0.0,0.0,100.59600780937764,(-1.2985285138711333e-05+8.482296038891945e-07j),-0.002803685582184259,100.59600780937764
neutral,0.02810526080429554,0.2548564672470093,-8.218671798706055,0.0,0.0,101.14194823662265,(-1.4556550013367087e-05+3.252066562708933e-06j),-0.021021870385525068,101.14194823662265
sad,0.00845690630376339,0.023559635505080223,-9.841733932495117,0.0,0.0,96.31650434589277,(1.895532477647066e-05-4.221958079142496e-06j),-0.012592082939701604,96.31650434589277
angry,0.08765710145235062,1.4628313779830933,-6.448842525482178,0.0,0.0,102.48721254749395,(-8.976693061413243e-05+1.054209133144468e-05j),-0.0014660961802943802,102.48721254749395
disgust,0.014691063202917576,0.05824059247970581,-9.686883926391602,0.0,0.0,98.17293750570765,(6.05030845690635e-06-3.7476413581316592e-06j),-0.014927778247008097,98.17293750570765
fear,0.023184198886156082,0.15337933599948883,-8.719578742980957,0.0,0.0,99.76898645617908,(-1.702476220089011e-05-2.139398247891222e-06j),0.00012561456421765626,99.76898645617908
happy,0.029827065765857697,0.2511880099773407,-8.8932466506958,0.0,0.0,100.16394460489012,(3.215882679796778e-05+1.6196580077121325e-07j),-0.04004559187810624,100.16394460489012
neutral,0.012017814442515373,0.05413222312927246,-9.869129180908203,0.0,0.0,97.08426279022915,(-6.225093329703668e-06+1.1260626706643961e-06j),-0.005327076980655664,97.08426279022915
sad,0.007863087579607964,0.019678598269820213,-9.96115493774414,0.0,0.0,96.37792566881888,(-2.891813721817016e-07+2.925253966168384e-06j),-0.0028651732259948226,96.37792566881888
angry,0.042101480066776276,0.5630767345428467,-9.02929973602295,0.0,0.0,101.37306278435733,(1.1422737316024723e-06+5.6255635172419716e-06j),-0.020402480455066752,101.37306278435733
angry,0.07338414341211319,1.348738431930542,-8.945940017700195,0.0,0.0,102.1387879254202,(1.0043073416454718e-05+5.915144924983906e-07j),0.010466038043331167,102.1387879254202
angry,0.054360389709472656,1.0230495929718018,-8.719474792480469,0.0,0.0,101.65965867212222,(4.7777954023331404e-05-1.1802560038631782e-05j),-0.014731632206449734,101.65965867212222
disgust,0.00983770564198494,0.028421755880117416,-10.25800895690918,0.0,0.0,96.711586289685,(1.7016520359902643e-05+9.095177233575669e-07j),0.008883600475096171,96.711586289685
disgust,0.017842791974544525,0.12923790514469147,-9.661861419677734,0.0,0.0,98.41902131103383,(5.351141226128675e-06+3.125630883005215e-07j),0.013975795986569542,98.41902131103383
disgust,0.04995270445942879,0.7092194557189941,-8.677253723144531,0.0,0.0,100.94109702146213,(1.7003059838316403e-05-1.8306436686543748e-06j),0.004772797737795931,100.94109702146213
fear,0.031171178445219994,0.4689716100692749,-8.599721908569336,0.0,0.0,98.57318026056289,(6.734212365699932e-05-1.4966027265472803e-05j),-0.0134099016006477,98.57318026056289
fear,0.01900021731853485,0.14431853592395782,-9.458043098449707,0.0,0.0,97.64656006199968,(8.492092092637904e-06-1.6872895685082767e-06j),-0.023070412001315696,97.64656006199968
fear,0.012881893664598465,0.05801116302609444,-9.402482032775879,0.0,0.0,97.3387368696601,(8.38292089611059e-06+3.072775598411681e-07j),0.012943022277484298,97.3387368696601
happy,0.05414396524429321,0.7813537120819092,-8.3502779006958,0.0,0.0,102.6100387344162,(2.035249417531304e-05-9.990823173211538e-07j),-0.03671544594362396,102.6100387344162
happy,0.016730407252907753,0.10278744995594025,-9.633395195007324,0.0,0.0,97.92055703408667,(2.256266088807024e-05-6.493328896794992e-08j),-0.00536883829017713,97.92055703408667
happy,0.020326845347881317,0.13029752671718597,-9.5028076171875,0.0,0.0,99.50755705142626,(1.7437070710002445e-05-1.5751045339129632e-06j),0.011716427440957834,99.50755705142626
neutral,0.011532513424754143,0.04839305579662323,-9.707483291625977,0.0,0.0,96.9551523252829,(1.1078508578066248e-05-1.6596891327935737e-06j),-0.012842837690738384,96.9551523252829
sad,0.005559333600103855,0.008760014548897743,-10.839866638183594,0.0,0.0,94.45389448370643,(1.8199973055743612e-05-3.5399477837927407e-06j),-0.003529211840081316,94.45389448370643
sad,0.004370573442429304,0.00604470819234848,-10.338888168334961,0.0,0.0,93.34127286260853,(4.289009666536003e-06+3.750243649847107e-06j),0.005672631078662047,93.34127286260853
sad,0.004634128417819738,0.006728441454470158,-10.328805923461914,0.0,0.0,93.50398197152774,(2.1209980332059786e-05+1.9582812456064858e-06j),0.004541454101571858,93.50398197152774
angry,0.0968775525689125,1.5519487857818604,-6.279044151306152,0.0,0.0,105.2917195710305,(9.707487333798781e-05+1.0514924724702723e-05j),-0.028778181356897702,105.2917195710305
disgust,0.01448755618184805,0.08598648756742477,-10.048967361450195,0.0,0.0,97.37119344889626,(9.376699381391518e-06+2.370467427681433e-06j),0.008292240426890952,97.37119344889626
fear,0.027068087831139565,0.2877694368362427,-9.984857559204102,0.0,0.0,98.59941710306722,(-6.892511009937152e-06+1.054592303262325e-05j),-0.00381557496435535,98.59941710306722
happy,0.03660106286406517,0.44903141260147095,-8.192728996276855,0.0,0.0,100.89097150609122,(-1.6851261534611695e-05+4.333198376116343e-06j),0.0007784296478627577,100.89097150609122
neutral,0.014070632867515087,0.06790980696678162,-9.971750259399414,0.0,0.0,96.8363071030521,(2.2386531782103702e-05-5.517691988643492e-06j),-0.00017653290853319203,96.8363071030521
sad,0.01069572288542986,0.045369189232587814,-10.061912536621094,0.0,0.0,96.35754249140648,(-3.0732726372662e-06+1.8832100749932579e-06j),0.011148237486932463,96.35754249140648
angry,0.02207004651427269,0.2178465723991394,-9.198137283325195,0.0,0.0,98.75215198052088,(1.2389032235660125e-05-8.70764324645279e-06j),0.012025599675951576,98.75215198052088
disgust,0.010751825757324696,0.05232824385166168,-9.090169906616211,0.0,0.0,97.0143666305131,(-1.6771600712672807e-05+5.126928044774104e-06j),-0.01648406769884528,97.0143666305131
fear,0.009997140616178513,0.03482546657323837,-10.030054092407227,0.0,0.0,96.79740550351403,(1.738385321914393e-06+7.94138486526208e-07j),-0.006069870542171986,96.79740550351403
happy,0.02287830039858818,0.1664571762084961,-8.938920974731445,0.0,0.0,99.82330606909746,(9.654908353695646e-06+1.2561353059936664e-06j),-0.0019281805704502101,99.82330606909746
neutral,0.005126392934471369,0.008150805719196796,-10.355415344238281,0.0,0.0,94.00665449339074,(-2.0838990621996345e-06+6.413060873455834e-07j),-0.012001261652882874,94.00665449339074
sad,0.00570269487798214,0.009203774854540825,-10.481428146362305,0.0,0.0,95.19100066644603,(1.4724354514328297e-05-4.226588771416573e-06j),-0.018463624242064748,95.19100066644603
angry,0.01244394388049841,0.04294990003108978,-9.252362251281738,0.0,0.0,97.51417272620945,(2.599138497316744e-06-1.7023511134084401e-07j),-0.0013011408100043042,97.51417272620945
disgust,0.010289739817380905,0.03185801953077316,-9.77665901184082,0.0,0.0,96.04919687717133,(2.8894526167277945e-06-2.079809746646788e-06j),-0.005974978526195283,96.04919687717133
fear,0.017962967976927757,0.11519009619951248,-9.109716415405273,0.0,0.0,98.38477413932289,(-9.526958820060827e-06+1.248403577847057e-06j),-0.021172574349694648,98.38477413932289
happy,0.02271476946771145,0.12561644613742828,-8.595394134521484,0.0,0.0,99.17996552806224,(-3.119204848189838e-05+2.203355279561947e-06j),0.000353220550506859,99.17996552806224
neutral,0.010296426713466644,0.04443100839853287,-9.806038856506348,0.0,0.0,96.55038814651013,(-1.0937498018392944e-06+4.602719855029136e-06j),-0.007145963516889116,96.55038814651013
sad,0.006621097680181265,0.01852310821413994,-10.820322036743164,0.0,0.0,93.99877317145179,(3.826641204796033e-06+1.9104340935882647e-06j),0.0025546463759660906,93.99877317145179
angry,0.029740599915385246,0.28363245725631714,-9.5037841796875,0.0,0.0,100.28988936641316,(8.336822247656528e-06-4.813188752450515e-06j),-0.016704276325609245,100.28988936641316
disgust,0.029957817867398262,0.3229796886444092,-9.441780090332031,0.0,0.0,99.4503190725717,(-7.146214556996711e-06+1.0650194781192113e-05j),0.0015765986974420356,99.4503190725717
fear,0.019677018746733665,0.12448690831661224,-10.22374439239502,0.0,0.0,97.36213882775584,(-7.2978482421603985e-06+8.741715191717958e-07j),-0.013691795952413897,97.36213882775584
happy,0.022154416888952255,0.18823739886283875,-9.067922592163086,0.0,0.0,98.63687052684477,(2.3488313672714867e-05-6.668263381470751e-07j),0.014993502409094368,98.63687052684477
neutral,0.011793979443609715,0.049151137471199036,-10.136518478393555,0.0,0.0,96.10044643824713,(9.61417936196085e-06+1.1571061122594983e-06j),-0.005842850380628537,96.10044643824713
sad,0.010279440321028233,0.04321303591132164,-10.16983413696289,0.0,0.0,96.02502069021055,(1.9034347133128904e-05-2.3467407572752563e-06j),-0.0005431019953106875,96.02502069021055
angry,0.02245042659342289,0.28932812809944153,-8.46987533569336,0.0,0.0,98.78906508216868,(2.048248097707983e-05-6.33330455457326e-06j),-0.007112403907581457,98.78906508216868
disgust,0.02371690608561039,0.1988646388053894,-8.284039497375488,0.0,0.0,99.60469017780035,(-1.945500662259292e-05+1.566624177939957e-06j),0.01130829806668772,99.60469017780035
fear,0.015983685851097107,0.06927243620157242,-8.901578903198242,0.0,0.0,98.75039082296728,(-3.080345436501375e-07-3.280688815721078e-06j),-0.037830773687188374,98.75039082296728
happy,0.033657751977443695,0.2891662120819092,-7.774056911468506,0.0,0.0,101.57229093614605,(-1.4743712199560832e-05-1.0430112524772994e-05j),-0.005093876057977628,101.57229093614605
neutral,0.011790977790951729,0.04856090247631073,-10.15959358215332,0.0,0.0,96.99641758434178,(1.208773574035149e-05+2.175899993517305e-08j),0.019750495473104545,96.99641758434178
sad,0.00835771206766367,0.020909901708364487,-9.37159252166748,0.0,0.0,96.3077139967235,(2.2293010260909796e-05-2.3281531866814476e-06j),-0.006508108275452646,96.3077139967235
angry,0.020381828770041466,0.21772314608097076,-9.601980209350586,0.0,0.0,97.77873609731105,(1.4710599316458683e-05+1.5411712865898153e-06j),0.024830008673538916,97.77873609731105
disgust,0.014588122256100178,0.09828416258096695,-9.179443359375,0.0,0.0,97.91215015412779,(-1.2029200661345385e-05-4.748420906253159e-06j),-0.0036967034997270644,97.91215015412779
fear,0.017256317660212517,0.14719703793525696,-9.584966659545898,0.0,0.0,97.18914097982552,(2.4236645913333632e-05-7.167112016759347e-06j),-0.0017395672513857915,97.18914097982552
happy,0.04046667367219925,0.5473056435585022,-8.723649978637695,0.0,0.0,100.81850722349158,(-2.1088397261337377e-05+9.404498086951207e-06j),0.0036665943128901843,100.81850722349158
neutral,0.01147144939750433,0.03995959088206291,-10.537130355834961,0.0,0.0,96.85436600889058,(4.272098067303887e-06-4.439554288637737e-07j),-0.004028479154568752,96.85436600889058
sad,0.007352061569690704,0.022994529455900192,-10.160540580749512,0.0,0.0,94.79510164055638,(1.2180705198261421e-05-5.902660177525831e-06j),-0.003368803677459172,94.79510164055638
angry,0.04151435196399689,0.5905120372772217,-8.116464614868164,0.0,0.0,100.4473966895516,(-4.306117716623703e-06+4.859109594690381e-06j),-0.013732270625982701,100.4473966895516
disgust,0.024168604984879494,0.2679682970046997,-8.973581314086914,0.0,0.0,98.83184271690145,(4.4383119529811665e-05-1.2824439181713387e-06j),-0.002364110042229381,98.83184271690145
fear,0.018191052600741386,0.13015338778495789,-9.778331756591797,0.0,0.0,97.79068486525236,(-2.1002579160267487e-06-1.5544735560979461e-06j),-0.007244370637599533,97.79068486525236
happy,0.03572440892457962,0.3989280164241791,-8.589378356933594,0.0,0.0,100.6484588303774,(-3.179071200065664e-06-5.649560989695601e-06j),-0.012600104437001903,100.6484588303774
neutral,0.014219148084521294,0.07033178210258484,-9.373025894165039,0.0,0.0,97.91298471676077,(2.4638124159537256e-05-6.906211183377309e-06j),-0.005772453120257062,97.91298471676077
sad,0.012114254757761955,0.04467864707112312,-9.9549560546875,0.0,0.0,97.95961504516745,(-1.3966829101264011e-05+7.433962309733033e-06j),0.01294015401091094,97.95961504516745
angry,0.08968792855739594,1.7323567867279053,-7.728674411773682,0.0,0.0,102.86245354565997,(-7.826441287761554e-05+5.506307388714049e-06j),-0.011866233717206178,102.86245354565997
disgust,0.007916073314845562,0.022416338324546814,-9.67115306854248,0.0,0.0,94.97741452619297,(-4.58967679151101e-06+3.985268449469004e-06j),-0.006266254891337094,94.97741452619297
fear,0.04615265876054764,0.7815218567848206,-8.636747360229492,0.0,0.0,100.6911912660606,(-7.37582331566955e-06+1.1073746463807765e-05j),0.0015205448960752762,100.6911912660606
happy,0.0669400617480278,1.0383634567260742,-7.631056308746338,0.0,0.0,103.27327526583836,(-4.740389340440743e-05+3.9986994693208544e-07j),-0.013256796239453758,103.27327526583836
sad,0.03158344700932503,0.28054797649383545,-8.133596420288086,0.0,0.0,100.67425333975567,(-2.472230335115455e-05+1.1867618923133705e-06j),0.032956278626543135,100.67425333975567
angry,0.024994859471917152,0.1793740838766098,-8.305646896362305,0.0,0.0,99.25822838586217,(1.6921139831538312e-05+1.0050629271063372e-06j),-0.014478756247465321,99.25822838586217
disgust,0.025519857183098793,0.2395806908607483,-8.367483139038086,0.0,0.0,98.6280947424483,(3.3628409710217966e-06+1.8918641444543027e-06j),0.0008715521653094938,98.6280947424483
fear,0.01231891755014658,0.032566748559474945,-9.198701858520508,0.0,0.0,96.93787807891091,(8.963947948359419e-06-4.060385890625184e-06j),-0.010291117582409741,96.93787807891091
happy,0.0257664006203413,0.1652061939239502,-7.7104034423828125,0.0,0.0,99.10553521612505,(1.3866912013327237e-05+3.4086715459125116e-06j),-0.004446665703384947,99.10553521612505
